"Marca temporal","1.1 Organización","1.2 Densidad","1.3 Consistencia","2.1 Navegabilidad","2.2 Interactividad","2.3 Accesibilidad","2.4 Sistema de indicación","2.5 Fiabilidad","2.6 Consistencia de la operación","2.7 Intuición","3.1 Sistema de ayuda","3.2 Feedback","3.3 Búsqueda de información","4.1 Apariencia","4.2 Organización","4.3 Densidad","4.4 Fiabilidad","4.5 Comprensión","5 Experiencia de usuario"
"2022/06/29 12:53:35 p. m. EET","4","2","4","4","4","4","3","3","3","2","2","2","2","3","3","3","2","3","2"
"2022/06/29 1:38:00 p. m. EET","4","2","4","4","4","4","3","2","4","5","3","3","5","4","4","2","4","4","4"
"2022/06/30 12:02:37 p. m. EET","5","1","5","5","5","5","4","2","4","4","3","3","5","5","5","5","5","5","5"
"2022/07/05 1:05:55 p. m. EET","5","1","5","4","4","4","4","1","3","5","4","4","5","5","5","1","5","4","5"
"2022/07/05 3:07:59 p. m. EET","4","5","4","5","5","5","5","3","4","4","5","4","4","5","5","4","5","4","5"
"2022/07/05 3:12:49 p. m. EET","5","2","5","5","5","5","5","1","5","5","4","5","5","5","5","2","4","4","5"
"2022/07/05 3:14:13 p. m. EET","5","1","5","5","5","5","5","1","5","5","5","5","5","5","5","2","5","5","5"
"2022/07/06 4:51:26 p. m. EET","5","1","5","5","4","5","5","1","5","4","4","5","5","5","5","1","5","4","5"
"2022/07/06 5:42:39 p. m. EET","5","3","4","5","5","4","4","3","4","4","4","5","4","5","5","4","4","4","5"
"2022/07/07 11:28:46 p. m. EET","5","2","5","5","4","4","5","1","5","4","4","","5","5","5","1","5","5","5"
